original_air_year,us_viewers_in_millions,season,imdb_rating
1990,30.3,1,7.4
1990,30.4,1,8.3
1990,33.6,2,8.2
1990,26.1,2,8.1
1990,25.4,2,8.0
1990,26.2,2,8.4
1991,24.8,2,7.8
1991,26.2,2,8.0
1991,26.8,2,8.2
1991,21.2,2,7.6
1991,17.7,2,8.5
1991,17.3,2,8.0
1991,20.2,3,7.7
1991,20.8,3,8.7
1991,20.2,3,7.7
1991,24.7,3,7.9
1991,21.1,3,8.2
1992,24.2,3,8.5
1992,20.5,3,8.3
1992,23.7,3,8.2
1992,25.5,3,7.9
1992,19.5,3,7.8
1992,21.8,4,8.4
1992,20.1,4,8.2
1992,28.6,4,8.5
1993,24.5,4,8.0
1990,27.6,1,7.9
1991,24.2,2,8.8
1993,17.3,4,7.7
1993,19.9,5,8.4
1993,18.1,5,8.6
1993,21.7,5,8.0
1993,20.1,5,8.7
1994,20.1,5,8.2
1994,20.0,5,8.1
1994,20.5,5,8.2
1994,17.0,5,7.9
1994,15.1,5,7.5
1994,15.1,6,8.6
1994,14.8,6,8.5
1994,17.9,6,8.4
1994,15.6,6,7.8
1995,17.3,6,8.5
1995,17.6,6,8.5
1995,18.9,6,7.9
1995,11.6,6,8.1
1995,12.6,6,8.3
1995,13.1,6,8.6
1995,15.7,7,8.3
1995,14.8,7,8.7
1995,19.7,7,8.5
1995,16.7,7,8.3
1996,16.7,7,8.3
1996,15.0,7,7.7
1992,23.1,4,8.2
1996,10.5,7,8.8
1996,11.3,7,8.0
1996,14.7,7,8.3
1996,12.6,8,7.7
1996,,8,7.8
1997,20.9,8,9.0
1997,14.0,8,7.8
1997,15.5,8,7.9
1997,15.3,8,8.9
1997,14.6,8,8.7
1997,,8,7.7
1997,16.9,8,8.0
1997,12.7,8,7.8
1997,14.9,9,7.4
1997,10.6,9,7.7
1997,9.3,9,8.0
1998,8.9,9,5.1
1998,9.4,9,8.2
1998,8.9,9,7.8
1998,7.4,9,7.9
1998,10.2,9,8.5
1998,8.6,9,8.1
1998,7.95,10,8.2
1998,8.5,10,8.0
1998,8.5,10,8.2
1999,8.8,10,7.7
1999,7.6,10,7.5
1999,8.5,10,7.6
1999,7.26,10,7.2
1999,8.0,10,7.9
1999,6.7,11,7.5
1999,8.4,11,7.6
1999,9.2,11,7.1
2000,11.3,11,7.3
2000,10.8,11,7.9
2000,9.4,11,7.3
2000,7.46,11,6.6
2000,7.5,11,7.3
2000,13.2,12,7.6
2000,16.4,12,7.1
2000,15.6,12,7.7
2001,15.0,12,7.3
2001,15.4,12,7.2
2001,17.6,12,7.4
2001,13.3,12,6.9
2001,13.8,12,7.3
2001,13.0,13,7.5
2001,14.4,13,7.2
2001,12.9,13,7.7
2002,13.2,13,7.5
2002,13.2,13,6.5
2002,11.1,13,7.0
2002,12.3,13,5.6
1992,23.6,4,8.7
2002,13.3,14,7.0
2002,15.5,14,7.3
2003,12.8,14,7.3
2003,13.4,14,6.8
2003,13.0,14,7.3
2003,12.02,14,7.2
2003,10.56,14,6.9
2003,13.44,14,7.7
2003,12.4,15,7.3
2003,11.7,15,7.2
2003,11.3,15,7.2
2004,16.3,15,7.3
2004,12.6,15,7.1
2004,11.2,15,6.9
2004,9.3,15,7.0
2004,6.6,15,7.3
2004,9.2,15,7.2
2004,9.95,16,7.1
2004,10.31,16,7.1
2005,9.97,16,7.0
2005,10.39,16,7.1
2005,10.28,16,7.0
2005,7.48,16,6.9
2005,10.79,16,7.2
2005,10.05,16,7.3
2005,11.1,17,6.3
1993,25.7,4,8.3
2005,11.46,17,6.7
2005,9.8,17,6.9
2006,9.51,17,6.4
2006,8.75,17,7.0
2006,7.83,17,6.6
2006,8.5,17,6.7
2006,11.5,18,7.5
2006,9.72,18,6.8
2006,11.43,18,6.9
2006,10.9,18,7.0
2006,8.96,18,6.4
2007,8.27,18,7.0
2007,9.09,18,7.1
2007,6.91,18,7.2
2007,7.72,18,7.1
2007,9.8,18,8.1
2007,8.4,19,6.7
2007,10.57,19,6.7
2007,9.0,19,7.1
2008,8.2,19,6.9
2008,8.18,19,7.7
2008,7.1,19,6.7
2008,7.69,19,6.9
2008,6.02,19,7.1
2008,7.43,20,6.9
2008,12.48,20,7.1
1993,25.5,4,7.2
2009,5.99,20,7.2
2009,5.94,20,7.0
2009,5.16,20,6.3
2009,8.31,21,7.1
2009,9.02,21,6.8
2010,8.65,21,6.8
2010,5.11,21,7.1
2010,5.23,21,7.1
2010,5.69,21,5.7
2010,5.66,21,6.9
2010,5.74,21,6.6
2010,8.59,22,6.8
2010,8.97,22,7.2
2010,9.54,22,6.9
2010,7.18,22,7.0
2011,6.5,22,7.0
2011,6.35,22,7.2
2011,5.44,22,6.1
2011,4.99,22,7.0
2011,6.0,22,7.3
2011,8.08,23,7.2
2011,8.1,23,6.6
2011,7.5,23,7.2
2011,9.01,23,6.2
2012,5.07,23,6.1
2012,5.12,23,5.7
2009,7.03,21,6.7
1993,17.9,5,8.5
2012,4.86,23,7.1
2012,4.84,23,6.9
2012,4.82,23,4.5
2012,5.06,24,6.3
2012,3.77,24,7.2
2013,5.04,24,7.0
2013,4.19,24,6.5
2013,4.66,24,6.2
2013,4.11,24,6.5
2013,4.43,24,6.8
2013,6.37,25,7.0
2013,4.2,25,6.7
2013,6.78,25,6.5
2013,8.48,25,6.5
2014,3.87,25,7.2
2014,3.75,25,6.7
2014,3.98,25,7.0
2014,4.3,25,6.5
2014,4.39,25,7.7
2014,3.28,25,6.7
2014,4.27,26,6.9
2014,4.22,26,6.3
2014,6.7,26,6.9
2015,10.62,26,6.8
2015,3.29,26,5.8
2015,3.23,26,6.7
1990,33.5,1,7.5
1990,31.2,1,7.8
1990,27.1,1,7.9
1990,29.9,2,8.3
1990,27.4,2,8.2
1990,26.1,2,7.5
1990,25.9,2,7.7
1990,22.2,2,8.1
1991,26.8,2,8.2
1991,23.9,2,7.5
1991,23.9,2,7.5
1991,19.7,2,7.9
